"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Iced","00F3","00000","02","00F3","add","bl,dh","00"
"Iced","01F3","00000","02","01F3","add","bx,si","00"
"Iced","02F3","00000","02","02F3","add","dh,bl","00"
"Iced","03F3","00000","02","03F3","add","si,bx","00"
"Iced","04F3","00000","02","04F3","add","al,0F3h","00"
"Iced","05F3","00000","02","05F3","(bad)","","00"
"Iced","06F3","00000","01","06","push","es","01"
"Iced","07F3","00000","01","07","pop","es","01"
"Iced","08F3","00000","02","08F3","or","bl,dh","00"
"Iced","09F3","00000","02","09F3","or","bx,si","00"
"Iced","0AF3","00000","02","0AF3","or","dh,bl","00"
"Iced","0BF3","00000","02","0BF3","or","si,bx","00"
"Iced","0CF3","00000","02","0CF3","or","al,0F3h","00"
"Iced","0DF3","00000","02","0DF3","(bad)","","00"
"Iced","0EF3","00000","01","0E","push","cs","01"
"Iced","0FF3","00000","02","0FF3","(bad)","","00"
"Iced","10F3","00000","02","10F3","adc","bl,dh","00"
"Iced","11F3","00000","02","11F3","adc","bx,si","00"
"Iced","12F3","00000","02","12F3","adc","dh,bl","00"
"Iced","13F3","00000","02","13F3","adc","si,bx","00"
"Iced","14F3","00000","02","14F3","adc","al,0F3h","00"
"Iced","15F3","00000","02","15F3","(bad)","","00"
"Iced","16F3","00000","01","16","push","ss","01"
"Iced","17F3","00000","01","17","pop","ss","01"
"Iced","18F3","00000","02","18F3","sbb","bl,dh","00"
"Iced","19F3","00000","02","19F3","sbb","bx,si","00"
"Iced","1AF3","00000","02","1AF3","sbb","dh,bl","00"
"Iced","1BF3","00000","02","1BF3","sbb","si,bx","00"
"Iced","1CF3","00000","02","1CF3","sbb","al,0F3h","00"
"Iced","1DF3","00000","02","1DF3","(bad)","","00"
"Iced","1EF3","00000","01","1E","push","ds","01"
"Iced","1FF3","00000","01","1F","pop","ds","01"
"Iced","20F3","00000","02","20F3","and","bl,dh","00"
"Iced","21F3","00000","02","21F3","and","bx,si","00"
"Iced","22F3","00000","02","22F3","and","dh,bl","00"
"Iced","23F3","00000","02","23F3","and","si,bx","00"
"Iced","24F3","00000","02","24F3","and","al,0F3h","00"
"Iced","25F3","00000","02","25F3","(bad)","","00"
"Iced","26F3","00000","02","26F3","(bad)","","00"
"Iced","27F3","00000","01","27","daa","","01"
"Iced","28F3","00000","02","28F3","sub","bl,dh","00"
"Iced","29F3","00000","02","29F3","sub","bx,si","00"
"Iced","2AF3","00000","02","2AF3","sub","dh,bl","00"
"Iced","2BF3","00000","02","2BF3","sub","si,bx","00"
"Iced","2CF3","00000","02","2CF3","sub","al,0F3h","00"
"Iced","2DF3","00000","02","2DF3","(bad)","","00"
"Iced","2EF3","00000","02","2EF3","(bad)","","00"
"Iced","2FF3","00000","01","2F","das","","01"
"Iced","30F3","00000","02","30F3","xor","bl,dh","00"
"Iced","31F3","00000","02","31F3","xor","bx,si","00"
"Iced","32F3","00000","02","32F3","xor","dh,bl","00"
"Iced","33F3","00000","02","33F3","xor","si,bx","00"
"Iced","34F3","00000","02","34F3","xor","al,0F3h","00"
"Iced","35F3","00000","02","35F3","(bad)","","00"
"Iced","36F3","00000","02","36F3","(bad)","","00"
"Iced","37F3","00000","01","37","aaa","","01"
"Iced","38F3","00000","02","38F3","cmp","bl,dh","00"
"Iced","39F3","00000","02","39F3","cmp","bx,si","00"
"Iced","3AF3","00000","02","3AF3","cmp","dh,bl","00"
"Iced","3BF3","00000","02","3BF3","cmp","si,bx","00"
"Iced","3CF3","00000","02","3CF3","cmp","al,0F3h","00"
"Iced","3DF3","00000","02","3DF3","(bad)","","00"
"Iced","3EF3","00000","02","3EF3","(bad)","","00"
"Iced","3FF3","00000","01","3F","aas","","01"
"Iced","40F3","00000","01","40","inc","ax","01"
"Iced","41F3","00000","01","41","inc","cx","01"
"Iced","42F3","00000","01","42","inc","dx","01"
"Iced","43F3","00000","01","43","inc","bx","01"
"Iced","44F3","00000","01","44","inc","sp","01"
"Iced","45F3","00000","01","45","inc","bp","01"
"Iced","46F3","00000","01","46","inc","si","01"
"Iced","47F3","00000","01","47","inc","di","01"
"Iced","48F3","00000","01","48","dec","ax","01"
"Iced","49F3","00000","01","49","dec","cx","01"
"Iced","4AF3","00000","01","4A","dec","dx","01"
"Iced","4BF3","00000","01","4B","dec","bx","01"
"Iced","4CF3","00000","01","4C","dec","sp","01"
"Iced","4DF3","00000","01","4D","dec","bp","01"
"Iced","4EF3","00000","01","4E","dec","si","01"
"Iced","4FF3","00000","01","4F","dec","di","01"
"Iced","50F3","00000","01","50","push","ax","01"
"Iced","51F3","00000","01","51","push","cx","01"
"Iced","52F3","00000","01","52","push","dx","01"
"Iced","53F3","00000","01","53","push","bx","01"
"Iced","54F3","00000","01","54","push","sp","01"
"Iced","55F3","00000","01","55","push","bp","01"
"Iced","56F3","00000","01","56","push","si","01"
"Iced","57F3","00000","01","57","push","di","01"
"Iced","58F3","00000","01","58","pop","ax","01"
"Iced","59F3","00000","01","59","pop","cx","01"
"Iced","5AF3","00000","01","5A","pop","dx","01"
"Iced","5BF3","00000","01","5B","pop","bx","01"
"Iced","5CF3","00000","01","5C","pop","sp","01"
"Iced","5DF3","00000","01","5D","pop","bp","01"
"Iced","5EF3","00000","01","5E","pop","si","01"
"Iced","5FF3","00000","01","5F","pop","di","01"
"Iced","60F3","00000","01","60","pusha","","01"
"Iced","61F3","00000","01","61","popa","","01"
"Iced","62F3","00000","02","62F3","(bad)","","00"
"Iced","63F3","00000","02","63F3","arpl","bx,si","00"
"Iced","64F3","00000","02","64F3","(bad)","","00"
"Iced","65F3","00000","02","65F3","(bad)","","00"
"Iced","66F3","00000","02","66F3","(bad)","","00"
"Iced","67F3","00000","02","67F3","(bad)","","00"
"Iced","68F3","00000","02","68F3","(bad)","","00"
"Iced","69F3","00000","02","69F3","(bad)","","00"
"Iced","6AF3","00000","02","6AF3","push","0FFF3h","00"
