Group,Label,Description,Format,Hex,Instruction,Bytes,Cycles,Aliases
Other,LOCK,Assert LOCK Signal Prefix,LOCK,F0,11110000,1,1,BUSLOCK
String,LODSB,Load String,LODSB,AC,10101100,1,3,LDMB
String,LODSW,Load String,LODSW,AD,10101101,1,3,LDMW
Loop,LOOP,Loop According to ECX Counter,LOOP rel8,E2 ii,11100010 iiiiiiii,2,2 (5 if branch taken),DBNZ
Loop,LOOPE,,LOOPE rel8,E1 ii,11100001 iiiiiiii,2,3 (6 if branch taken),DBNZE
Loop,LOOPNE,,LOOPNE rel8,E0 ii,11100000 iiiiiiii,2,3 (6 if branch taken),DBNZNE
Memory,MOV,Move,"MOV AL, ptr16",A0 ii ii,10100000 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV AX, ptr16",A1 ii ii,10100001 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV mem8, imm8",C6 /0 ii,11000110 oo000mmm iiiiiiii,3+,1,-
Memory,MOV,Move,"MOV mem16, imm16",C7 /0 ii ii,11000111 oo000mmm iiiiiiii iiiiiiii,4+,1,-
Memory,MOV,Move,"MOV mem8, reg8",88 /r,10001000 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV mem16, reg16",89 /r,10001001 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV mem16, sreg16",8C /r,10001100 oo0rrmmm,2+,3,-
Memory,MOV,Move,"MOV ptr16, AL",A2 ii ii,10100010 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV ptr16, AX",A3 ii ii,10100011 iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg8, imm8",Bx ii,10110rrr iiiiiiii,2,1,-
Memory,MOV,Move,"MOV reg8, imm8",C6 /0 ii,11000110 11000mmm iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg16, imm16",Bx ii,10111rrr iiiiiiii iiiiiiii,3,1,-
Memory,MOV,Move,"MOV reg16, imm16",C7 /0 ii ii,11000111 11000mmm iiiiiiii iiiiiiii,4,1,-
Memory,MOV,Move,"MOV reg8, mem8",8A /r,10001010 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV reg16, mem16",8B /r,10001011 oorrrmmm,2+,1,-
Memory,MOV,Move,"MOV reg8, reg8",88 /r,100010.0 11rrrmmm,2,1,-
Memory,MOV,Move,"MOV reg16, reg16",89 /r,100010.1 11rrrmmm,2,1,-
Memory,MOV,Move,"MOV reg16, sreg16",8C /r,10001100 110rrmmm,2,1,-
Memory,MOV,Move,"MOV sreg16, mem16",8E /r,10001110 oo0rrmmm,2,3,-
Memory,MOV,Move,"MOV sreg16, reg16",8E /r,10001110 110rrmmm,2+,2,-
String,MOVSB,Move Data From String to String,MOVSB,A4,10100100,1,5,MOVBKB
String,MOVSW,Move Data From String to String,MOVSW,A5,10100101,1,5,MOVBKW
Arithmetic,MUL,Unsigned Multiply,MUL mem8,F6 /4,11110110 oo100mmm,2+,4,MULU
Arithmetic,MUL,Unsigned Multiply,MUL mem16,F7 /4,11111111 oo100mmm,2+,4,MULU
Arithmetic,MUL,Unsigned Multiply,MUL reg8,F6 /4,11111110 11100mmm,2,3,MULU
Arithmetic,MUL,Unsigned Multiply,MUL reg16,F7 /4,11111111 11100mmm,2,3,MULU
Arithmetic,NEG,Two's Complement Negation,NEG mem8,F6 /3,11110110 oo011mmm,2+,3,-
Arithmetic,NEG,Two's Complement Negation,NEG mem16,F7 /3,11111111 oo011mmm,2+,3,-
Arithmetic,NEG,Two's Complement Negation,NEG reg8,F6 /3,11111110 11011mmm,2,1,-
Arithmetic,NEG,Two's Complement Negation,NEG reg16,F7 /3,11111111 11011mmm,2,1,-
Other,NOP,No Operation,NOP,90,10010000,1,1,-
Bitwise,NOT,One's Complement Negation,NOT mem8,F6 /2,11110110 oo010mmm,2+,3,-
Bitwise,NOT,One's Complement Negation,NOT mem16,F7 /2,11111111 oo010mmm,2+,3,-
Bitwise,NOT,One's Complement Negation,NOT reg8,F6 /2,11111110 11010mmm,2,1,-
Bitwise,NOT,One's Complement Negation,NOT reg16,F7 /2,11111111 11010mmm,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR AL, imm",0C ii,00001100 iiiiiiii,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR AX, imm",0D ii ii,00001101 iiiiiiii iiiiiiii,3,1,-
Bitwise,OR,Logical Inclusive OR,"OR mem8, imm8",80 /6 ii,10000000 oo001mmm iiiiiiii,3+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, imm16",81 /6 ii ii,10000001 oo001mmm iiiiiiii iiiiiiii,4+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, simm8",83 /6 ii,10000011 oo001mmm iiiiiiii,3+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem8, reg8",08 /r,00001000 oorrrmmm,2+,3,-
Bitwise,OR,Logical Inclusive OR,"OR mem16, reg16",09 /r,00001001 oorrrmmm,2+,3,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, imm8",80 /6 ii,10000000 11001mmm iiiiiiii,3,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, imm16",81 /6 ii ii,10000001 11001mmm iiiiiiii iiiiiiii,4,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, simm8",83 /6 ii,10000011 11001mmm iiiiiiii,3,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, mem8",0A /r,00001010 oorrrmmm,2+,2,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, mem16",0B /r,00001011 oorrrmmm,2+,2,-
Bitwise,OR,Logical Inclusive OR,"OR reg8, reg8",08 /r,000010.0 11rrrmmm,2,1,-
Bitwise,OR,Logical Inclusive OR,"OR reg16, reg16",09 /r,000010.1 11rrrmmm,2,1,-
Ports,OUT,Output to Port,"OUT DX, AL",EE,11101110,1,6,-
Ports,OUT,Output to Port,"OUT DX, AX",EF,11101111,1,6,-
