"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Gnu","A000","00000","01","A0",".byte","0xa0","01"
"Gnu","A100","00000","01","A1",".byte","0xa1","01"
"Gnu","A200","00000","01","A2",".byte","0xa2","01"
"Gnu","A300","00000","01","A3",".byte","0xa3","01"
"Gnu","A400","00000","01","A4","movs","BYTE PTR es:[di],BYTE PTR ds:[si]","01"
"Gnu","A500","00000","01","A5","movs","WORD PTR es:[di],WORD PTR ds:[si]","01"
"Gnu","A600","00000","01","A6","cmps","BYTE PTR ds:[si],BYTE PTR es:[di]","01"
"Gnu","A700","00000","01","A7","cmps","WORD PTR ds:[si],WORD PTR es:[di]","01"
"Gnu","A800","00000","02","A800","test","al,0x0","00"
"Gnu","A900","00000","01","A9",".byte","0xa9","01"
"Gnu","AA00","00000","01","AA","stos","BYTE PTR es:[di],al","01"
"Gnu","AB00","00000","01","AB","stos","WORD PTR es:[di],ax","01"
"Gnu","AC00","00000","01","AC","lods","al,BYTE PTR ds:[si]","01"
"Gnu","AD00","00000","01","AD","lods","ax,WORD PTR ds:[si]","01"
"Gnu","AE00","00000","01","AE","scas","al,BYTE PTR es:[di]","01"
"Gnu","AF00","00000","01","AF","scas","ax,WORD PTR es:[di]","01"
"Gnu","B000","00000","02","B000","mov","al,0x0","00"
"Gnu","B100","00000","02","B100","mov","cl,0x0","00"
"Gnu","B200","00000","02","B200","mov","dl,0x0","00"
"Gnu","B300","00000","02","B300","mov","bl,0x0","00"
"Gnu","B400","00000","02","B400","mov","ah,0x0","00"
"Gnu","B500","00000","02","B500","mov","ch,0x0","00"
"Gnu","B600","00000","02","B600","mov","dh,0x0","00"
"Gnu","B700","00000","02","B700","mov","bh,0x0","00"
"Gnu","B800","00000","01","B8",".byte","0xb8","01"
"Gnu","B900","00000","01","B9",".byte","0xb9","01"
"Gnu","BA00","00000","01","BA",".byte","0xba","01"
"Gnu","BB00","00000","01","BB",".byte","0xbb","01"
"Gnu","BC00","00000","01","BC",".byte","0xbc","01"
"Gnu","BD00","00000","01","BD",".byte","0xbd","01"
"Gnu","BE00","00000","01","BE",".byte","0xbe","01"
"Gnu","BF00","00000","01","BF",".byte","0xbf","01"
"Gnu","C000","00000","01","C0",".byte","0xc0","01"
"Gnu","C100","00000","01","C1",".byte","0xc1","01"
"Gnu","C200","00000","01","C2",".byte","0xc2","01"
"Gnu","C300","00000","01","C3","ret","","01"
"Gnu","C400","00000","02","C400","les","ax,DWORD PTR [bx+si]","00"
"Gnu","C500","00000","02","C500","lds","ax,DWORD PTR [bx+si]","00"
"Gnu","C600","00000","01","C6",".byte","0xc6","01"
"Gnu","C700","00000","01","C7",".byte","0xc7","01"
"Gnu","C800","00000","01","C8",".byte","0xc8","01"
"Gnu","C900","00000","01","C9","leave","","01"
"Gnu","CA00","00000","01","CA",".byte","0xca","01"
"Gnu","CB00","00000","01","CB","retf","","01"
"Gnu","CC00","00000","01","CC","int3","","01"
"Gnu","CD00","00000","02","CD00","int","0x0","00"
"Gnu","CE00","00000","01","CE","into","","01"
"Gnu","CF00","00000","01","CF","iret","","01"
"Gnu","D000","00000","02","D000","rol","BYTE PTR [bx+si],1","00"
"Gnu","D100","00000","02","D100","rol","WORD PTR [bx+si],1","00"
"Gnu","D200","00000","02","D200","rol","BYTE PTR [bx+si],cl","00"
"Gnu","D300","00000","02","D300","rol","WORD PTR [bx+si],cl","00"
"Gnu","D400","00000","02","D400","aam","0x0","00"
"Gnu","D500","00000","02","D500","aad","0x0","00"
"Gnu","D600","00000","01","D6","(bad)","","01"
"Gnu","D700","00000","01","D7","xlat","BYTE PTR ds:[bx]","01"
"Gnu","D800","00000","02","D800","fadd","DWORD PTR [bx+si]","00"
"Gnu","D900","00000","02","D900","fld","DWORD PTR [bx+si]","00"
"Gnu","DA00","00000","02","DA00","fiadd","DWORD PTR [bx+si]","00"
"Gnu","DB00","00000","02","DB00","fild","DWORD PTR [bx+si]","00"
"Gnu","DC00","00000","02","DC00","fadd","QWORD PTR [bx+si]","00"
"Gnu","DD00","00000","02","DD00","fld","QWORD PTR [bx+si]","00"
"Gnu","DE00","00000","02","DE00","fiadd","WORD PTR [bx+si]","00"
"Gnu","DF00","00000","02","DF00","fild","WORD PTR [bx+si]","00"
"Gnu","E000","00000","02","E000","loopne","0x2","00"
"Gnu","E100","00000","02","E100","loope","0x2","00"
"Gnu","E200","00000","02","E200","loop","0x2","00"
"Gnu","E300","00000","02","E300","jcxz","0x2","00"
"Gnu","E400","00000","02","E400","in","al,0x0","00"
"Gnu","E500","00000","02","E500","in","ax,0x0","00"
"Gnu","E600","00000","02","E600","out","0x0,al","00"
"Gnu","E700","00000","02","E700","out","0x0,ax","00"
"Gnu","E800","00000","01","E8",".byte","0xe8","01"
"Gnu","E900","00000","01","E9",".byte","0xe9","01"
"Gnu","EA00","00000","01","EA",".byte","0xea","01"
"Gnu","EB00","00000","02","EB00","jmp","0x2","00"
"Gnu","EC00","00000","01","EC","in","al,dx","01"
"Gnu","ED00","00000","01","ED","in","ax,dx","01"
"Gnu","EE00","00000","01","EE","out","dx,al","01"
"Gnu","EF00","00000","01","EF","out","dx,ax","01"
"Gnu","F000","00000","01","F0","lock","","01"
"Gnu","F100","00000","01","F1","int1","","01"
"Gnu","F200","00000","01","F2","repnz","","01"
"Gnu","F300","00000","01","F3","repz","","01"
"Gnu","F400","00000","01","F4","hlt","","01"
"Gnu","F500","00000","01","F5","cmc","","01"
"Gnu","F600","00000","01","F6",".byte","0xf6","01"
"Gnu","F700","00000","01","F7",".byte","0xf7","01"
"Gnu","F800","00000","01","F8","clc","","01"
"Gnu","F900","00000","01","F9","stc","","01"
"Gnu","FA00","00000","01","FA","cli","","01"
"Gnu","FB00","00000","01","FB","sti","","01"
"Gnu","FC00","00000","01","FC","cld","","01"
"Gnu","FD00","00000","01","FD","std","","01"
"Gnu","FE00","00000","02","FE00","inc","BYTE PTR [bx+si]","00"
"Gnu","FF00","00000","02","FF00","inc","WORD PTR [bx+si]","00"
"Gnu","0001","00000","02","0001","add","BYTE PTR [bx+di],al","00"
"Gnu","0101","00000","02","0101","add","WORD PTR [bx+di],ax","00"
"Gnu","0201","00000","02","0201","add","al,BYTE PTR [bx+di]","00"
"Gnu","0301","00000","02","0301","add","ax,WORD PTR [bx+di]","00"
"Gnu","0401","00000","02","0401","add","al,0x1","00"
